Material,TRADE,Material description,Last Change,Material type,Material Group,Base Unit of Measure,Price,Currency
3100000001    ,DOMESTIC TRADE,PL-DNS (BREAD),3/31/2024,C100,C10000000,KG,17.82,THB
3100000002    ,INTERNATIONAL TRADE,PL-C/P (NOODLE),3/31/2024,C100,C10000000,KG,18.81,THB
3100000003    ,DOMESTIC TRADE,PL-INS (INSTANT NOODLE),1/31/2023,C100,C10000000,KG,0,THB
3100000004    ,INTERNATIONAL TRADE,PL-D/H/A/W (ALL PURPOSE),3/31/2024,C100,C10000000,KG,14.66,THB
3100000005    ,INTERNATIONAL TRADE,PL-A/W 1 (SOFT01),12/4/2020,C100,C10000000,KG,0,THB
3100000006    ,DOMESTIC TRADE,PL-A/W 2 (SOFT02),3/31/2024,C100,C10000000,KG,13.85,THB
3100000007    ,DOMESTIC TRADE,PL-PATONGGO,3/31/2024,C100,C10000000,KG,15.26,THB
3100000008    ,INTERNATIONAL TRADE,PL-H/A/W (BISCUIT),3/31/2024,C100,C10000000,KG,16.26,THB
3100000009    ,INTERNATIONAL TRADE,PL-CAKE,7/13/2021,C100,C10000000,KG,0,THB
3100000010    ,INTERNATIONAL TRADE,PL-SALAPAO,7/13/2021,C100,C10000000,KG,0,THB
3100000011    ,INTERNATIONAL TRADE,PL-VT28,3/31/2024,C100,C10000000,KG,14.97,THB
3100000012    ,INTERNATIONAL TRADE,PL-VT32,3/31/2024,C100,C10000000,KG,15.81,THB
3100000013    ,DOMESTIC TRADE,PL-VT34,3/31/2024,C100,C10000000,KG,15.97,THB
3100000014    ,INTERNATIONAL TRADE,PL-VT36,3/31/2024,C100,C10000000,KG,16.06,THB
3100000015    ,international trade,WFS (VITAL FLOUR LOW GLUTEN),3/31/2024,C100,C10000000,KG,15.01,THB
3100000016    ,INTERNATIONAL TRADE,PL-NS,1/14/2021,C100,C10000000,KG,0,THB
3100000017    ,INTERNATIONAL TRADE,PL-HRW 11.5%,12/4/2020,C100,C10000000,KG,0,THB
3100000018    ,INTERNATIONAL TRADE,PL-SW 10.5%,3/31/2024,C100,C10000000,KG,18.03,THB
3100000019    ,DOMESTIC TRADE,PL-CWRS 13.5%,3/31/2024,C100,C10000000,KG,16.93,THB
3100000020    ,INTERNATIONAL TRADE,PL-APH 14.0%,3/31/2024,C100,C10000000,KG,19.89,THB
3100000021    ,DOMESTIC TRADE,PL-AH 13%,12/4/2020,C100,C10000000,KG,0,THB
3100000022    ,INTERNATIONAL TRADE,PL-APW 10.5%,3/31/2024,C100,C10000000,KG,15.16,THB
3100000023    ,INTERNATIONAL TRADE,PL-UW 12.5%,3/31/2024,C100,C10000000,KG,16.56,THB
3100000090    ,DOMESTIC TRADE,VITAL WHOLE WHEAT,3/31/2024,C100,C10006080,KG,13.16,THB
3100000132    ,INTERNATIONAL TRADE,PL-ASW,3/31/2024,C100,C10000000,KG,14.36,THB
3100000145    ,INTERNATIONAL TRADE,PL-C/P 2,3/31/2024,C100,C10000000,KG,18.81,THB
3100000194    ,INTERNATIONAL TRADE,PL-Wheat flour FCK,3/31/2024,C100,C10007990,KG,17.45,THB
3100000203    ,INTERNATIONAL TRADE,PL-CWAD 16.0%,9/11/2023,C100,C10000000,KG,0,THB
